Step 124, e:172, x:321, y:381, Plot(321,381)
Step 125, e:73, x:322, y:381, Plot(322,381)
Step 126, e:167, x:323, y:380, Plot(323,380)
Step 127, e:68, x:324, y:380, Plot(324,380)
Step 128, e:162, x:325, y:379, Plot(325,379)
Step 129, e:63, x:326, y:379, Plot(326,379)
Step 130, e:157, x:327, y:378, Plot(327,378)
Step 131, e:58, x:328, y:378, Plot(328,378)
Step 132, e:152, x:329, y:377, Plot(329,377)
Step 133, e:53, x:330, y:377, Plot(330,377)
Step 134, e:147, x:331, y:376, Plot(331,376)
Step 135, e:48, x:332, y:376, Plot(332,376)
Step 136, e:142, x:333, y:375, Plot(333,375)
Step 137, e:43, x:334, y:375, Plot(334,375)
Step 138, e:137, x:335, y:374, Plot(335,374)
Step 139, e:38, x:336, y:374, Plot(336,374)
Step 140, e:132, x:337, y:373, Plot(337,373)
Step 141, e:33, x:338, y:373, Plot(338,373)
Step 142, e:127, x:339, y:372, Plot(339,372)
Step 143, e:28, x:340, y:372, Plot(340,372)
Step 144, e:122, x:341, y:371, Plot(341,371)
Step 145, e:23, x:342, y:371, Plot(342,371)
Step 146, e:117, x:343, y:370, Plot(343,370)
Step 147, e:18, x:344, y:370, Plot(344,370)
Step 148, e:112, x:345, y:369, Plot(345,369)
Step 149, e:13, x:346, y:369, Plot(346,369)
Step 150, e:107, x:347, y:368, Plot(347,368)
Step 151, e:8, x:348, y:368, Plot(348,368)
Step 152, e:102, x:349, y:367, Plot(349,367)
Step 153, e:3, x:350, y:367, Plot(350,367)
Step 154, e:97, x:351, y:366, Plot(351,366)
Step 155, e:191, x:352, y:365, Plot(352,365)
Step 156, e:92, x:353, y:365, Plot(353,365)
Step 157, e:186, x:354, y:364, Plot(354,364)
Step 158, e:87, x:355, y:364, Plot(355,364)
Step 159, e:181, x:356, y:363, Plot(356,363)
Step 160, e:82, x:357, y:363, Plot(357,363)
Step 161, e:176, x:358, y:362, Plot(358,362)
Step 162, e:77, x:359, y:362, Plot(359,362)
Step 163, e:171, x:360, y:361, Plot(360,361)
Step 164, e:72, x:361, y:361, Plot(361,361)
Step 165, e:166, x:362, y:360, Plot(362,360)
Step 166, e:67, x:363, y:360, Plot(363,360)
Step 167, e:161, x:364, y:359, Plot(364,359)
Step 168, e:62, x:365, y:359, Plot(365,359)
Step 169, e:156, x:366, y:358, Plot(366,358)
Step 170, e:57, x:367, y:358, Plot(367,358)
Step 171, e:151, x:368, y:357, Plot(368,357)
Step 172, e:52, x:369, y:357, Plot(369,357)
Step 173, e:146, x:370, y:356, Plot(370,356)
Step 174, e:47, x:371, y:356, Plot(371,356)
Step 175, e:141, x:372, y:355, Plot(372,355)
Step 176, e:42, x:373, y:355, Plot(373,355)
Step 177, e:136, x:374, y:354, Plot(374,354)
Step 178, e:37, x:375, y:354, Plot(375,354)
Step 179, e:131, x:376, y:353, Plot(376,353)
Step 180, e:32, x:377, y:353, Plot(377,353)
Step 181, e:126, x:378, y:352, Plot(378,352)
Step 182, e:27, x:379, y:352, Plot(379,352)
Step 183, e:121, x:380, y:351, Plot(380,351)
Step 184, e:22, x:381, y:351, Plot(381,351)
Step 185, e:116, x:382, y:350, Plot(382,350)
Step 186, e:17, x:383, y:350, Plot(383,350)
Step 187, e:111, x:384, y:349, Plot(384,349)
Step 188, e:12, x:385, y:349, Plot(385,349)
Step 189, e:106, x:386, y:348, Plot(386,348)
Step 190, e:7, x:387, y:348, Plot(387,348)
Step 191, e:101, x:388, y:347, Plot(388,347)
